date,spend,impressions,clicks,frequency,revenue
2025-10-31,1000,50000,1250,1.2,187500.0
2025-11-01,1000,50000,1220,1.28,183000.0
2025-11-02,1000,50000,1190,1.36,178500.0
2025-11-03,1000,50000,1160,1.44,174000.0
2025-11-04,1000,50000,1130,1.52,169500.0
2025-11-05,1000,50000,1100,1.6,165000.0
2025-11-06,1000,50000,1070,1.68,160500.0
2025-11-07,1000,50000,1040,1.76,156000.0
2025-11-08,1000,50000,1010,1.84,151500.0
2025-11-09,1000,50000,980,1.92,147000.0
2025-11-10,1000,50000,950,2.0,142500.0
2025-11-11,1000,50000,920,2.08,138000.0
2025-11-12,1000,50000,890,2.16,133500.0
2025-11-13,1000,50000,860,2.24,129000.0
2025-11-14,1000,50000,830,2.32,124500.0
2025-11-15,1000,50000,800,2.4,120000.0
2025-11-16,1000,50000,770,2.48,115500.0
2025-11-17,1000,50000,740,2.56,111000.0
2025-11-18,1000,50000,710,2.64,106500.0
2025-11-19,1000,50000,680,2.72,102000.0
2025-11-20,1000,50000,650,2.8,97500.0
2025-11-21,1000,50000,620,2.88,93000.0
2025-11-22,1000,50000,590,2.96,88500.0
2025-11-23,1000,50000,560,3.04,84000.0
2025-11-24,1000,50000,530,3.12,79500.0
2025-11-25,1000,50000,500,3.2,75000.0
2025-11-26,1000,50000,470,3.28,70500.0
2025-11-27,1000,50000,440,3.36,66000.0
2025-11-28,1000,50000,410,3.44,61500.0
2025-11-29,1000,50000,380,3.52,57000.0
